title,propertyType,bedrooms,bathrooms,sizeSqFeetMax,price,descriptionHtml
Brixton Townhouse with Roof Terrace,Townhouse,3,2,1490,"£1,185,000","Characterful Brixton townhouse with roof terrace, colourful interiors and lively cafés, music venues and Victoria line access nearby."
Ealing Edwardian Semi,House,5,3,2320,"£1,740,000","Spacious Edwardian semi-detached house with period cornicing, large garden and family-friendly access to schools and parks."
Little Venice Waterside Flat,Flat,2,2,930,"£1,190,000","Calm waterside flat with canal views, porterage and a generous reception room close to Warwick Avenue and Paddington."
Covent Garden Pied-à-Terre,Apartment,1,1,565,"£845,000","Smart pied-à-terre with oak flooring, secure entry and immediate access to theatres, restaurants and Covent Garden piazza."
Dulwich Village Family Home,House,4,3,2195,"£1,680,000","Substantial family home with double reception, utility room and large rear garden close to Dulwich schools and village amenities."
Whitechapel Investment Flat,Flat,2,1,705,"£590,000","Efficient Whitechapel flat with practical layout, strong rental appeal and fast access to the City, hospitals and the Elizabeth line."
Putney Riverside Apartment,Apartment,2,2,915,"£875,000","Riverside apartment with private balcony, secure parking and light-filled living space near Putney Bridge and the Thames Path."
Soho Loft Apartment,Loft,2,2,1010,"£1,720,000","Rare Soho loft apartment with dramatic ceiling height, bespoke cabinetry and the buzz of London's West End on the doorstep."
Chiswick Family Terrace,House,4,2,1785,"£1,395,000","Well-balanced Chiswick terrace with skylit kitchen-diner, landscaped garden and excellent proximity to Turnham Green and parks."
Deptford Regeneration Flat,Flat,1,1,575,"£430,000","Affordable flat in a modern Deptford scheme with shared roof garden, bike storage and easy access to creative hubs and rail links."
Belgravia White Stucco Apartment,Apartment,3,3,1485,"£3,250,000","Prestigious Belgravia apartment with white stucco façade, formal reception, porter and immaculate turnkey presentation."
Peckham Artist Loft,Loft,1,1,720,"£545,000","Vibrant Peckham loft with concrete finishes, generous natural light and easy access to independent galleries, cafés and overground routes."
St John's Wood Residence,Apartment,4,3,1980,"£2,780,000","Impressive lateral residence with porter, secure parking and classic proportions close to St John's Wood High Street and Regent's Park."
Wapping Warehouse Conversion,Flat,2,2,990,"£880,000","Characterful Wapping conversion with timber beams, river proximity and a quiet setting within historic dockside streets."
Elephant and Castle New-Build Flat,Flat,2,1,730,"£615,000","New-build flat with winter garden, sleek kitchen and strong transport links within the rapidly evolving Elephant and Castle district."
Primrose Hill Garden Maisonette,Maisonette,3,2,1360,"£1,540,000","Highly desirable maisonette with private garden, elegant reception room and immediate access to Primrose Hill and Regent's Park Road."
Crystal Palace View Apartment,Apartment,2,1,785,"£520,000","Bright apartment with panoramic views, contemporary finish and convenient access to Crystal Palace parkland and Overground services."
Highbury Corner Flat,Flat,2,1,760,"£710,000","Refined Highbury flat with bay windows, neutral palette and quick access to Canonbury, Angel and Arsenal cultural spots."
Bermondsey Loft Near Maltby Street,Loft,2,2,950,"£890,000","Industrial-style loft near Maltby Street Market with large warehouse windows, polished flooring and London Bridge connectivity."
Chelsea Harbour Marina Apartment,Apartment,3,2,1440,"£1,980,000","Waterfront apartment with marina views, hotel-style services, private balcony and refined entertaining space."
Lewisham Starter Flat,Flat,1,1,520,"£365,000","Practical starter flat with modern kitchen, bright reception and excellent commuter links into Canary Wharf, London Bridge and the City."
Notting Dale Creative Apartment,Apartment,1,1,640,"£610,000","Stylish west London apartment with colourful finishes, flexible work-from-home nook and quick access to Golborne Road and Ladbroke Grove."
Paddington Basin Modern Flat,Flat,2,2,845,"£950,000","Canal-side flat with concierge, gym and elegant open-plan layout in the Paddington Basin regeneration area."
Forest Hill Family House,House,4,2,1840,"£1,095,000","Comfortable family house with loft conversion, large kitchen-diner and verdant views near Forest Hill pools and parks."
Aldgate City Fringe Apartment,Apartment,1,1,600,"£550,000","City fringe apartment with concierge, floor-to-ceiling glazing and ideal access to the Square Mile and Shoreditch."
Kew Botanical Cottage,Cottage,2,1,880,"£895,000","Pretty cottage with exposed brick, fitted cabinetry and a peaceful Kew setting close to the Royal Botanic Gardens and station."
Docklands Two-Bed Apartment,Apartment,2,2,870,"£640,000","Smart Docklands apartment with balcony, resident gym and waterside setting close to Jubilee line and Crossrail connections."
Muswell Hill Edwardian Flat,Flat,3,2,1120,"£835,000","Generous Edwardian flat with period character, leafy outlook and village atmosphere near Alexandra Palace and good schools."
South Kensington Mews House,Mews House,3,3,1540,"£2,320,000","Refined mews house with integral garage, vaulted ceiling and polished interiors moments from museums and Hyde Park."
Stratford Skyline Apartment,Apartment,2,2,800,"£575,000","Modern Stratford apartment with skyline outlook, concierge and direct links to Queen Elizabeth Olympic Park and major transport hubs."
